index,date,title,publication
1,NA,Harris' fellow 'Desis' thrilled Those with South Asian roots add to Democratic,NA
2,2024-07-20,"Indian Americans Become a Political Force, Just as Usha Vance ’s Profile Rises",    The New York Times US      Amy Qin and Jonathan Wolfe Amy Qin
3,2024-07-31,Fact-Checking Trump’s Remarks on Race Fact Check,     The New York Times US; politics    Linda Qiu Linda Qiu is a reporter
4,2024-08-01,False and Overstated Claims on Race and His Own Record,   The New York Times Section A; Column 0; National Desk; Pg. 19; FACT
5,2024-08-24,Harris changed this election. This election changes America,    Los Angeles Times       MAIN NEWS; Opinion Desk; Part A; Pg. 1         LZ
6,2024-08-28,A New Destination for Indian Cuisine in Queens,"    The New York Times Section D; Column 0; Dining In, Dining Out / Style"
7,2024-08-27,A New Destination for Indian Cuisine in Queens Off the Menu,     The New York Times DINING           Florence Fabricant Florence
8,NA,"Trump questions Kamala Harris' racial identity at NABJ, says she 'happened to turn",NA
9,2024-08-01,Trump's racism at NABJ was revolting. It was all calculated for his MAGA fan base.,    USA Today Online
10,2024-07-12,Feel-Good Options All Over,"  The New York Times Section C; Column 0; Movies, Performing"
11,NA,Harris drawing parallels to Obama as young voters eye chance to be part of historic,NA
12,2024-07-21,What’s Next for the Harris Campaign,"     The New York Times US; politics     Zolan Kanno-Youngs, Erica L. Green"
