"","Neighborhood","x2020"
"1","Downtown/Seton Hill",43333
"2","Madison/East End",45602
"3","Clifton-Berea",38289
"4","Clifton-Berea",45446
"5","Clifton-Berea",41298
"6","Greenmount East",40885
"7","Oldtown/Middle East",48137
"8","The Waverlies",43727
"9","Greater Charles Village/Barclay",36563
"10","Greater Charles Village/Barclay",36221
"11","Penn North/Reservoir Hill",43380
"12","Upton/Druid Heights",41913
"13","Sandtown-Winchester/Harlem Park",40644
"14","Forest Park/Walbrook",39337
"15","Dorchester/Ashburton",45870
"16","Greater Rosemont",37819
"17","Greater Rosemont",38482
"18","Greater Rosemont",39959
"19","Edmondson Village",41932
"20","Southwest Baltimore",38203
"21","Allendale/Irvington/S. Hilton",39076
"22","Allendale/Irvington/S. Hilton",43734
"23","Allendale/Irvington/S. Hilton",49875
"24","Washington Village/Pigtown",36661
"25","Morrell Park/Violetville",36555
"26","Westport/Mount Winans/Lakeland",38779
"27","Cherry Hill",41518
"28","Morrell Park/Violetville",40230
"29","Brooklyn/Curtis Bay/Hawkins Point",37059
"30","Cedonia/Frankford",44093
"31","Cedonia/Frankford",39282
"32","Cedonia/Frankford",46250
"33","Claremont/Armistead",48661
"34","Claremont/Armistead",39000
"35","Southeastern",44794
"36","Highlandtown",48850
"37","Harford/Echodale",37591
"38","Northwood",47260
"39","Greater Govans",35822
"40","Greater Govans",40281
"41","Pimlico/Arlington/Hilltop",36484
"42","Pimlico/Arlington/Hilltop",40256
"43","Glen-Fallstaff",41728
"44","Glen-Fallstaff",47610
"45","Howard Park/West Arlington",43618
"46","Dickeyville/Franklintown",47366
"47","Beechfield/Ten Hills/West Hills",47192
"48","Edmondson Village",41179
"49","Allendale/Irvington/S. Hilton",40946
